ZIP,Place,State,Longitude,Latitude,Longitude_Projected,Latitude_Projected
80516,Erie,CO,-105.0686,40.0597,360.4045671169548,218.27091499345272
80517,Estes Park,CO,-105.5142,40.3658,354.6995066869672,211.91587188164715
80520,Firestone,CO,-104.9366,40.1125,362.3592958998485,217.45713657472447
80521,Fort Collins,CO,-105.1039,40.5813,360.84677826731036,208.44047945478303
80522,Fort Collins,CO,-105.057,40.6429,361.61363604578776,207.34828371074298
80523,Fort Collins,CO,-105.0844,40.5853,361.12690321630635,208.39166827923225
80524,Fort Collins,CO,-105.0581,40.5986,361.5188430547155,208.17750619229935
80525,Fort Collins,CO,-105.0547,40.5384,361.4585463520207,209.31095038897388
80526,Fort Collins,CO,-105.1076,40.5473,360.7337100673633,209.0730539244861
80527,Fort Collins,CO,-105.0844,40.5853,361.12690321630635,208.39166827923225
80528,Fort Collins,CO,-105.0002,40.4961,362.1465259911024,210.1769774359741
80530,Frederick,CO,-104.9293,40.0978,362.4361758147704,217.74262726126176
80532,Glen Haven,CO,-105.447,40.4578,355.8145610523072,210.28550336773776
80533,Hygiene,CO,-105.2327,40.1815,358.3135798974804,215.76304917982725
80534,Johnstown,CO,-104.9236,40.3355,362.9364276462543,213.2909216167676
80535,Laporte,CO,-105.1488,40.6347,360.3150294014263,207.37869882251334
80536,Livermore,CO,-105.3766,40.8701,357.5662528704968,202.65511152693762
80537,Loveland,CO,-105.0916,40.3849,360.6655421061585,212.14011195999865
80538,Loveland,CO,-105.09,40.4262,360.76230386110615,211.36771461404373
80539,Loveland,CO,-105.075,40.3978,360.92170276117497,211.92051014151536
80540,Lyons,CO,-105.3231,40.2357,357.1414154682575,214.62207364598135
80541,Masonville,CO,-105.2108,40.4875,359.17965856472574,210.0546308268008
80542,Mead,CO,-104.9994,40.2347,361.6920977327389,215.08100816405215
80543,Milliken,CO,-104.8552,40.3294,363.886616402996,213.49549002291405
80544,Niwot,CO,-105.1708,40.1039,359.0438784920676,217.30315750245245
80545,Red Feather Lakes,CO,-105.6893,40.8659,353.2012594515779,202.29532202882888
80546,Severance,CO,-104.8505,40.525,364.2953136427366,209.83251100302573
80547,Timnath,CO,-104.9853,40.5291,362.4140323524699,209.57789210610576
80549,Wellington,CO,-105.0318,40.7255,362.11368887258186,205.83309110793698
