lat,lon
-78.0347,38.0132
-77.8315,37.7126
-77.7077,37.638
-77.9449,37.345
-77.186,37.7184
-76.4048,37.2864
-76.7072,37.6271
-76.3544,37.4383
-76.8101,37.6135
-77.3395,37.6281
-77.6545,37.431
-77.6429,37.5109
-77.6419,37.4815
-76.9138,37.8364
-77.3294,37.6691
-77.8781,37.9986
-76.2766,37.4487
-77.7585,37.426
-78.3112,37.6645
-77.0742,37.553
-76.2878,37.3438
-77.1449,37.9226
-76.7468,37.3105
-76.4238,37.4401
-77.7853,37.704
-76.2941,37.3985
-76.5188,37.3122
-76.3172,37.386
-77.8798,37.5564
-77.0711,37.4259
-77.1486,37.5185
-77.7,37.7337
-77.0348,37.3796
-77.055,37.8479
-76.5921,37.5949
-77.2758,37.5157
-77.9125,37.7526
-76.5084,37.4182
-76.7099,37.5213
-77.8283,37.6454
-76.9352,37.7146
-77.4526,37.7722
-76.3161,37.3508
-76.8253,37.3901
-76.4575,37.6009
-77.997,37.9408
-77.4932,37.5242
-76.5918,37.6356
-76.4323,37.5681
-77.0185,37.7554
-76.4529,37.4004
-76.6227,37.7105
-76.8237,37.5556
-76.5325,37.3632
-76.5319,37.3221
-76.7324,37.2732
-76.7468,37.3105
-76.7634,37.3178
-76.6362,37.482
-77.6924,37.8177
-77.4932,37.5242
-77.4378,37.5463
-77.4588,37.5498
-77.4845,37.5583
-77.4267,37.5748
-77.3948,37.5477
-77.471,37.4955
-77.5047,37.5158
-77.5197,37.5825
-77.4351,37.6247
-77.4959,37.625
-77.5704,37.5957
-77.4952,37.5921
-77.368,37.4915
-77.4084,37.5202
-77.6266,37.6455
-77.4788,37.4373
-77.5646,37.5133
-77.5854,37.4782
-77.4615,37.4011
